coup,mass,xsec(pb)
1.639000e+00, 9.454570e+02, 9.1012651e-05
1.961000e+00, 6.071060e+02, 0.0029722116799999997
1.559000e+00, 1.653250e+02, 5.317546500000001
2.440000e+00, 1.379670e+02, 13.779709
2.111000e+00, 7.142200e+02, 0.00105945939
2.452000e+00, 5.926940e+02, 0.0055968734
1.413000e+00, 5.037880e+02, 0.0132155413
6.950000e-01, 3.447190e+02, 0.47287151
1.118000e+00, 1.150406e+03, 1.030601775e-05
1.745000e+00, 5.417740e+02, 0.0066061047000000005
4.460000e-01, 6.542870e+02, 8.6752848e-05
2.223000e+00, 1.441250e+02, 11.3038626
3.025000e+00, 9.104070e+02, 0.000408963098
1.956000e+00, 4.076440e+02, 1.9106485
6.650000e-01, 2.926550e+02, 0.6089101100000001
7.260000e-01, 3.313450e+02, 0.57061974
8.380000e-01, 7.227550e+02, 0.000150875661
7.920000e-01, 6.421370e+02, 0.000312681156
2.535000e+00, 8.937650e+02, 0.000327681768
2.080000e+00, 4.479800e+01, 11.1988296
2.393000e+00, 1.178292e+03, 3.98460082e-05
2.163000e+00, 4.053180e+02, 2.4168428
3.132000e+00, 1.127740e+02, 23.662196
2.535000e+00, 3.250150e+02, 7.277621000000001
4.650000e-01, 6.186540e+02, 0.000143737547
4.440000e-01, 9.067080e+02, 9.027422200000001e-06
1.084000e+00, 7.587200e+01, 2.9680006
1.416000e+00, 3.200260e+02, 2.3470833000000004
4.950000e-01, 1.391980e+02, 0.56585819
1.200000e+00, 6.441000e+00, 3.7752802
6.600000e-02, 5.114060e+02, 2.065114925e-05
2.839000e+00, 6.723930e+02, 0.00289571003
1.595000e+00, 9.822210e+02, 6.591179819999999e-05
3.420000e-01, 2.269460e+02, 0.21448744
1.322000e+00, 7.174990e+02, 0.000400825068
1.009000e+00, 6.773690e+02, 0.00035380275599999997
2.509000e+00, 4.321390e+02, 2.0702723
8.230000e-01, 4.235750e+02, 0.26190973
2.000000e+00, 1.109506e+03, 4.3230406299999997e-05
2.038000e+00, 4.143270e+02, 1.8749217999999999
2.990000e-01, 2.091520e+02, 0.17379193
3.770000e-01, 7.155640e+02, 3.27284392e-05
1.689000e+00, 4.042000e+00, 7.4808178000000005
7.710000e-01, 7.525170e+02, 9.651466400000001e-05
1.530000e-01, 3.799130e+02, 0.016602998
3.035000e+00, 4.453280e+02, 2.2455377
1.714000e+00, 7.469070e+02, 0.000514108954
2.467000e+00, 5.511750e+02, 0.0109942271
1.928000e+00, 4.145270e+02, 1.6726659
1.598000e+00, 7.200940e+02, 0.00057020021
2.397000e+00, 1.104975e+03, 6.41122987e-05
2.112000e+00, 8.956000e+00, 11.6938081
8.590000e-01, 1.011114e+03, 1.57698366e-05
2.911000e+00, 7.384000e+01, 21.440845
2.256000e+00, 2.141030e+02, 9.744326599999999
2.078000e+00, 4.379050e+02, 1.25543089
1.357000e+00, 9.124260e+02, 8.00128211e-05
9.780000e-01, 2.706980e+02, 1.46987
1.440000e+00, 4.050210e+02, 1.0755458599999999
2.900000e+00, 6.301400e+01, 21.482335
2.863000e+00, 1.119192e+03, 8.316783e-05
1.514000e+00, 6.542040e+02, 0.00101435372
1.162000e+00, 7.071410e+02, 0.000346110369
1.030000e-01, 3.415640e+02, 0.010595326799999999
3.071000e+00, 7.847980e+02, 0.0011765099100000001
1.546000e+00, 8.297890e+02, 0.000199503706
2.656000e+00, 9.469370e+02, 0.000237574563
2.393000e+00, 5.746310e+02, 0.0070118684
9.330000e-01, 5.348740e+02, 0.00216974319
7.490000e-01, 5.951870e+02, 0.00051115312
2.475000e+00, 1.064399e+03, 8.9605859e-05
1.245000e+00, 6.847970e+02, 0.0004994410900000001
1.964000e+00, 1.133734e+03, 3.55376072e-05
2.591000e+00, 5.093170e+02, 0.03416934
1.476000e+00, 3.268900e+01, 5.6712746
4.560000e-01, 7.712500e+01, 0.52438532
1.588000e+00, 9.649900e+01, 6.2218056
2.234000e+00, 1.861000e+02, 10.3721429
1.599000e+00, 3.627580e+02, 2.1465594
2.798000e+00, 9.446310e+02, 0.00026910363800000003
8.770000e-01, 6.859610e+02, 0.000239003677
1.548000e+00, 1.118220e+03, 2.4475466900000005e-05
8.640000e-01, 4.267710e+02, 0.27235953999999996
1.644000e+00, 6.637140e+02, 0.00108552164
8.240000e-01, 8.045970e+02, 6.9797959e-05
2.306000e+00, 5.361870e+02, 0.012978325499999999
2.106000e+00, 4.242500e+02, 1.6949780999999997
3.020000e+00, 4.129160e+02, 4.2117208
2.429000e+00, 7.875120e+02, 0.00072070214
2.690000e-01, 7.383380e+02, 1.34902278e-05
1.552000e+00, 3.466620e+02, 2.3218737000000003
3.064000e+00, 1.098618e+03, 0.0001092767797
1.095000e+00, 2.632000e+02, 1.9065626999999998
1.293000e+00, 9.418340e+02, 5.83458836e-05
1.281000e+00, 8.515460e+02, 0.00011415622499999999
2.997000e+00, 1.436910e+02, 20.566813
1.490000e+00, 7.899010e+02, 0.000265225669
1.383000e+00, 1.084396e+03, 2.44748602e-05
2.694000e+00, 7.038900e+02, 0.0018845860000000002
2.067000e+00, 7.525540e+02, 0.00071295409
5.020000e-01, 1.043590e+02, 0.61555227
1.586000e+00, 8.360980e+02, 0.000198799261
1.923000e+00, 3.146570e+02, 4.4771369
4.700000e-01, 5.752070e+02, 0.000267085174
3.139000e+00, 1.229850e+02, 23.378764000000004
2.182000e+00, 4.294710e+02, 1.6514263
8.080000e-01, 5.588000e+01, 1.6773458
2.219000e+00, 3.087740e+02, 6.1822263
1.948000e+00, 1.036470e+02, 9.2777348
2.893000e+00, 5.836720e+02, 0.0089589681
1.061000e+00, 8.165700e+02, 0.000104666398
1.822000e+00, 9.620850e+02, 9.970802999999999e-05
3.050000e+00, 6.641210e+02, 0.0036460663599999998
1.958000e+00, 1.132196e+03, 3.56903835e-05
2.838000e+00, 7.539270e+02, 0.00131996864
1.487000e+00, 9.594590e+02, 6.75024683e-05
1.872000e+00, 4.268280e+02, 1.27727229
6.520000e-01, 1.509090e+02, 0.95911181
1.938000e+00, 7.240580e+02, 0.00080638667
1.698000e+00, 4.838510e+02, 0.138765953
1.207000e+00, 3.046390e+02, 1.8744722999999999
2.057000e+00, 7.306570e+02, 0.00085784457
1.771000e+00, 1.713560e+02, 6.7632807
1.509000e+00, 7.917730e+02, 0.000267904786
3.077000e+00, 2.579520e+02, 15.396968000000001
1.390000e+00, 2.220100e+02, 3.6034324
2.238000e+00, 9.459200e+01, 12.389483499999999
5.600000e-01, 4.735930e+02, 0.028239397000000003
7.110000e-01, 6.795120e+02, 0.000167662595
2.337000e+00, 9.325480e+02, 0.000203645223
1.278000e+00, 5.504130e+02, 0.0029915159
2.289000e+00, 3.142110e+02, 6.3642994
4.330000e-01, 2.220300e+02, 0.3496494
2.448000e+00, 4.785770e+02, 0.41078291
3.360000e-01, 8.070450e+02, 1.14138389e-05
