coup,mass,xsec(pb)
2.000000e+00, 2.000000e+02, 7.9954469
1.000000e+00, 8.000000e+02, 0.000107042548
1.911000e+00, 8.693910e+02, 0.000220789978
1.864000e+00, 1.912000e+02, 7.117795899999999
1.368000e+00, 2.229420e+02, 3.4798184
1.347000e+00, 1.053940e+02, 4.4249727000000005
1.677000e+00, 3.820140e+02, 1.9449553000000002
1.004000e+00, 1.825310e+02, 2.1145062
2.577000e+00, 3.184520e+02, 7.8472469
2.507000e+00, 3.806300e+01, 16.335672000000002
1.796000e+00, 8.204300e+02, 0.000300528278
5.870000e-01, 1.728230e+02, 0.7406047
8.860000e-01, 4.751640e+02, 0.065196079
1.254000e+00, 8.193020e+02, 0.00014291734299999999
2.851000e+00, 3.080560e+02, 10.248239
6.000000e-02, 4.024300e+02, 0.0019272257
1.971000e+00, 1.709950e+02, 8.3848749
1.352000e+00, 5.182210e+02, 0.006920621433999999
1.606000e+00, 7.194510e+02, 0.0005795854
1.373000e+00, 9.910000e+01, 4.6348582
2.064000e+00, 5.347480e+02, 0.010724180900000001
2.178000e+00, 1.027516e+03, 8.951843809999998e-05
4.410000e-01, 7.134370e+02, 4.5730747e-05
8.080000e-01, 3.853590e+02, 0.43441462
1.985000e+00, 2.607950e+02, 6.332256900000001
2.304000e+00, 3.991550e+02, 2.9816406
1.106000e+00, 5.723510e+02, 0.00155143245
1.617000e+00, 6.787740e+02, 0.0008922260300000001
2.828000e+00, 7.450890e+02, 0.00142547552
7.550000e-01, 6.292810e+02, 0.000329259484
1.424000e+00, 1.080373e+03, 2.66549573e-05
2.297000e+00, 1.491700e+01, 13.828256999999999
5.110000e-01, 3.832300e+01, 0.6782873
2.530000e+00, 1.005150e+02, 15.706078000000002
1.605000e+00, 7.433420e+02, 0.000467444193
2.898000e+00, 6.455330e+02, 0.0040366594
2.894000e+00, 1.665970e+02, 18.26473
2.177000e+00, 7.805090e+02, 0.0006153535399999999
2.326000e+00, 1.014036e+03, 0.000111807822
2.038000e+00, 6.882300e+01, 10.562359200000001
1.290000e+00, 1.185437e+03, 1.1023311920000001e-05
